1,analyse
1,analysis
1,analyst
1,analytical
1,analysed
1,analysing
1,analyses
1,analysts
1,approach
1,approached
1,approaches
1,approaching
1,approachable
1,area
1,areas
1,assess
1,assessed
1,assessing
1,assessment
1,assessments
1,assessor
1,assume
1,assumed
1,assumes
1,assuming
1,assumption
1,assumptions
1,authority
1,authorities
1,authoritative
1,available
1,availability
1,unavailable
1,benefit
1,beneficial
1,beneficiaries
1,beneficiary
1,benefited
1,benefiting
1,benefits
1,concept
1,concepts
1,conceptual
1,conceptualise
1,consist
1,consisted
1,consistency
1,consistent
1,consistently
1,consisting
1,consists
1,constitute
1,constituted
1,constitutes
1,constituting
1,constitution
1,constitutional
1,context
1,contexts
1,contextual
1,contextualise
1,contract
1,contracted
1,contracting
1,contractor
1,contractors
1,contracts
1,create
1,created
1,creating
1,creation
1,creative
1,creatively
1,creator
1,creators
1,data
1,define
1,defined
1,defines
1,defining
1,definition
1,definitions
1,derive
1,derived
1,derives
1,deriving
1,derivation
1,distribute
1,distributed
1,distributing
1,distribution
1,distributions
1,distributor
1,economy
1,economic
1,economical
1,economically
1,economics
1,economies
1,economist
1,environment
1,environmental
1,environmentalist
1,environmentally
1,environments
1,establish
1,established
1,establishes
1,establishing
1,establishment
1,estimate
1,estimated
1,estimates
1,estimating
1,estimation
1,evident
1,evidently
1,evidence
1,export
1,exported
1,exporter
1,exporters
1,exporting
1,exports
1,factor
1,factors
1,finance
1,financed
1,finances
1,financial
1,financially
1,financing
1,formula
1,formulae
1,formulas
1,formulate
1,formulated
1,formulating
1,formulation
1,function
1,functional
1,functioned
1,functioning
1,functions
1,identify
1,identifiable
1,identification
1,identified
1,identifies
1,identifying
1,identity
1,income
1,incomes
1,indicate
1,indicated
1,indicates
1,indicating
1,indication
1,indicator
1,indicators
1,individual
1,individually
1,individuals
1,individualism
1,individuality
1,interpret
1,interpretation
1,interpretations
1,interpreted
1,interpreting
1,interprets
1,involve
1,involved
1,involvement
1,involves
1,involving
1,issue
1,issued
1,issues
1,issuing
1,labour
1,laboured
1,labouring
1,labours
1,legal
1,legality
1,legally
1,illegal
1,illegally
1,legislate
1,legislated
1,legislation
1,legislative
1,legislator
1,legislature
1,major
1,majority
1,method
1,methodical
1,methodological
1,methodology
1,methods
1,occur
1,occurred
1,occurrence
1,occurrences
1,occurring
1,occurs
1,percent
1,percentage
1,percentages
1,period
1,periodic
1,periodical
1,periodically
1,periods
1,policy
1,policies
1,principle
1,principled
1,principles
1,unprincipled
1,proceed
1,procedural
1,procedure
1,procedures
1,proceeded
1,proceeding
1,proceedings
1,proceeds
1,process
1,processed
1,processes
1,processing
1,require
